Country,male_suicide_avg,female_suicide_avg,both_suicide_avg,Temperature,Overall rank,Happiness Index
France,21.76,6.563333333333333,13.93,11.65,27,6.609
Gabon,15.96,2.8966666666666665,9.296666666666669,25.20,95,5.106
Gambia,7.603333333333334,3.0833333333333335,5.32,28.38,112,4.485
Georgia,15.133333333333333,3.1466666666666665,8.88,9.01,91,5.185
Germany,18.94333333333333,5.956666666666667,12.396666666666668,9.59,24,6.719
Ghana,10.113333333333332,1.9833333333333336,6.0200000000000005,27.66,120,4.289
Greece,8.58,1.95,5.183333333333333,13.17,64,5.934
Guatemala,8.753333333333332,2.5966666666666662,5.583333333333333,23.65,42,6.287
Guinea,7.6933333333333325,3.82,5.703333333333333,25.86,97,5.023
Honduras,5.406666666666666,1.2533333333333332,3.3000000000000003,24.72,61,5.968
Hungary,26.286666666666665,8.293333333333333,16.84,11.50,56,6.017
Iceland,19.5,4.676666666666667,12.17,1.85,3,7.525
India,15.166666666666666,10.893333333333333,13.103333333333332,24.94,126,4.054
Indonesia,2.713333333333334,1.0733333333333337,1.8999999999999997,25.96,80,5.568
Iran,6.8933333333333335,2.3766666666666665,4.64,18.34,100,4.923
Iraq,6.103333333333333,2.0933333333333333,4.15,22.95,92,5.166
Ireland,14.446666666666664,3.5066666666666664,8.92,9.73,17,6.838
Israel,8.486666666666666,2.103333333333333,5.2700000000000005,20.99,5,7.341
Italy,10.159999999999998,2.9499999999999997,6.453333333333333,13.02,41,6.324
Ivory Coast,12.69,2.4566666666666666,7.6933333333333325,26.80,96,5.08
Jamaica,2.8200000000000003,0.6566666666666667,1.7333333333333332,25.91,67,5.842
Japan,24.13333333333333,9.79,16.766666666666666,11.78,51,6.06
Jordan,1.8966666666666667,0.54,1.2433333333333334,20.05,125,4.186
Kazakhstan,30.179999999999996,6.403333333333333,17.943333333333335,7.11,49,6.188
Kenya,10.056666666666668,3.1799999999999997,6.586666666666666,25.08,114,4.47
Kuwait,3.556666666666666,0.7233333333333333,2.3233333333333337,26.31,13,6.951
Kyrgyzstan,13.646666666666668,3.69,8.606666666666667,2.65,75,5.714
Laos,7.606666666666667,2.983333333333333,5.303333333333334,24.16,94,5.139
Latvia,34.51,6.5566666666666675,19.42,6.87,46,6.234
Lebanon,2.0533333333333332,1.0266666666666666,1.5566666666666666,15.45,142,2.707
Lesotho,60.45,16.27,37.913333333333334,12.38,141,3.186
Liberia,8.056666666666667,3.6566666666666663,5.8999999999999995,25.45,121,4.269
Libya,7.093333333333334,3.18,5.196666666666666,22.81,66,5.866
Lithuania,48.60666666666666,9.2,27.360000000000003,7.38,19,6.818
Luxembourg,13.910000000000002,5.483333333333334,9.75,10.02,8,7.122
Madagascar,8.540000000000001,3.546666666666667,6.02,22.64,123,4.228
Malawi,12.333333333333334,2.603333333333333,283.57,22.66,136,3.421
Malaysia,7.960000000000001,2.1266666666666665,5.14,26.38,59,5.975
Mali,5.28,2.9499999999999997,4.11,29.21,122,4.232
Malta,8.743333333333334,1.97,5.373333333333332,20.06,40,6.346
Mauritania,4.61,2.16,3.3699999999999997,28.82,111,4.505
Mauritius,17.646666666666665,3.6266666666666665,10.56,23.33,70,5.816
Mexico,10.436666666666667,2.3133333333333335,6.29,21.31,25,6.678
Moldova,26.27666666666667,4.293333333333334,14.803333333333333,10.89,71,5.816
Mongolia,28.153333333333332,4.423333333333333,16.143333333333334,1.07,77,5.696
Montenegro,27.180000000000003,8.533333333333333,17.773333333333333,9.93,76,5.707
Morocco,6.07,3.62,4.8500000000000005,18.14,107,4.795
Mozambique,18.01,4.02,10.773333333333332,24.41,90,5.216
Myanmar,5.659999999999999,1.2100000000000002,3.3433333333333333,23.82,118,4.354
Namibia,18.97666666666667,3.473333333333333,10.976666666666668,20.45,106,4.832
Netherlands,15.33,7.640000000000001,11.433333333333332,10.49,6,7.319
New Zealand,16.816666666666666,5.6866666666666665,11.193333333333332,10.46,11,7.029
Nicaragua,8.206666666666665,2.4166666666666665,5.29,25.88,43,6.284
Niger,5.486666666666667,2.783333333333333,4.1466666666666665,28.04,109,4.556
Nigeria,6.5,1.67,4.023333333333333,27.30,102,4.881
North Macedonia,12.053333333333333,4.696666666666666,8.423333333333334,10.79,84,5.369
Norway,16.52,7.18,11.9,2.21,7,7.302
Pakistan,10.1,3.483333333333333,6.87,21.38,108,4.657
Panama,7.476666666666667,1.4766666666666666,4.51,25.60,39,6.358
Paraguay,8.706666666666667,3.0266666666666673,5.903333333333333,23.92,57,5.977
Peru,4.329999999999999,1.4366666666666668,2.89,20.07,68,5.841
Philippines,4.943333333333333,1.356666666666667,3.186666666666666,26.27,53,6.048
Poland,24.936666666666667,3.5433333333333334,13.886666666666663,8.78,35,6.442
Portugal,18.166666666666668,5.646666666666667,11.593333333333334,15.85,55,6.03
Romania,17.78,3.34,10.353333333333332,10.18,32,6.491
Russia,42.61333333333334,8.733333333333334,24.483333333333334,,72,5.785
Saudi Arabia,10.256666666666666,3.036666666666666,7.243333333333333,25.94,28,6.594
Senegal,11.033333333333331,3.1833333333333336,7.086666666666666,28.90,99,4.969
Serbia,21.77,7.47,14.590000000000002,11.40,37,6.411
Sierra Leone,7.363333333333333,3.8966666666666665,5.623333333333334,26.54,140,3.245
Singapore,12.026666666666666,5.87,9.033333333333331,27.68,30,6.523
Slovakia,21.333333333333332,3.6566666666666663,12.29,8.83,45,6.257
Slovenia,29.063333333333333,7.06,17.996666666666666,9.86,21,6.743
South Africa,29.463333333333335,6.87,17.966666666666665,18.23,83,5.422
